,trustLevel,totalScannedItems,lineItemVoids,scansWithoutRegistration,valuePerSecond,lineItemVoidsPerPosition,grandTotal,quantityModifications
0,5.0,23.999999999999957,10.0,6.0,0.0910912906610703,0.4166666666666671,86.81,1.0
1,5.0,29.99999999999996,3.0,7.0,0.037026706231454,0.1,62.39,2.0
2,5.0,29.999999999999957,6.0,1.0,0.0103066332916145,0.2,16.47,0.0
3,5.0,23.0,9.0,6.0,0.0143105320304017,0.39130434782608703,13.18,2.0
4,5.0,29.999999999999968,11.0,6.0,0.0519806243272336,0.3666666666666671,48.29,5.0
5,5.0,24.0,0.0,7.0,0.0271535580524345,0.0,21.75,5.0
6,4.0,28.000000000000085,6.0,10.0,0.0295776255707763,0.214285714285714,51.82,1.0
7,5.0,29.000000000000014,1.0,0.0,0.00596014492753623,0.0344827586206897,6.58,3.0
8,5.0,26.99999999999995,11.0,8.0,0.0149718423169751,0.407407407407407,18.61,2.0
9,5.0,26.999999999999996,6.0,5.0,0.048502994011976004,0.222222222222222,16.2,1.0
10,4.0,26.999999999999964,11.0,10.0,0.0696606498194946,0.407407407407407,96.48,3.0
11,5.0,25.00000000000001,4.0,9.0,0.0504118616144975,0.16,30.6,0.0
12,5.0,30.000000000000046,0.0,2.0,0.0291503267973856,0.0,40.14,4.0
13,5.0,23.999999999999975,4.0,3.0,0.0476306306306306,0.166666666666667,52.87,2.0
14,5.0,27.000000000000025,6.0,1.0,0.0263461538461538,0.222222222222222,17.81,5.0
15,5.0,28.99999999999997,5.0,2.0,0.0396797671033479,0.172413793103448,27.26,1.0
16,5.0,23.00000000000002,11.0,1.0,0.0184720121028744,0.4782608695652171,24.42,4.0
17,5.0,28.000000000000032,9.0,5.0,0.0268854166666667,0.32142857142857106,25.81,2.0
18,5.0,24.000000000000004,7.0,0.0,0.0725637393767705,0.29166666666666696,51.23,3.0
19,4.0,27.99999999999996,9.0,4.0,0.051906096706377,0.32142857142857106,74.07,3.0
20,4.0,28.999999999999996,9.0,10.0,0.07365,0.31034482758620696,58.92,2.0
21,5.0,29.000000000000057,3.0,2.0,0.00987694831829368,0.103448275862069,12.04,5.0
22,5.0,27.999999999999975,8.0,1.0,0.0545011600928074,0.28571428571428603,46.98,3.0
23,5.0,25.0,5.0,6.0,0.015,0.2,4.26,3.0
24,5.0,22.99999999999993,10.0,4.0,0.0798591549295775,0.43478260869565205,11.34,0.0
25,4.0,25.999999999999936,11.0,5.0,0.0270267197271177,0.42307692307692296,47.54,3.0
26,5.0,27.999999999999986,2.0,0.0,0.00654929577464789,0.0714285714285714,5.58,0.0
27,5.0,28.000000000000043,5.0,7.0,0.0680750798722045,0.178571428571429,85.23,2.0
28,5.0,27.999999999999968,8.0,5.0,0.0630166880616175,0.28571428571428603,49.09,5.0
29,5.0,25.000000000000018,10.0,4.0,0.0098780487804878,0.4,16.2,2.0
30,5.0,27.000000000000014,2.0,10.0,0.0237864077669903,0.0740740740740741,26.95,1.0
31,5.0,27.00000000000003,11.0,7.0,0.10559710494571799,0.407407407407407,87.54,5.0
32,5.0,27.999999999999996,2.0,8.0,0.22097345132743398,0.0714285714285714,24.97,5.0
33,5.0,26.999999999999986,6.0,7.0,0.0268260511129431,0.222222222222222,32.54,5.0
34,5.0,26.0,5.0,4.0,0.10693567251462,0.19230769230769199,91.43,3.0
